A1;43.475579;-3.804835;
A2;43.474022;-3.809813;
A3;43.473088;-3.808848;
A4;43.471375;-3.808161;
A5;43.471717;-3.807045;
A6;43.472076;-3.804771;
B1;43.472823;-3.790823;
B2;43.472434;-3.793355;
B3;43.474941;-3.79445;
B4;43.473493;-3.798033;
B5;43.472916;-3.800222;
C1;43.478148;-3.804234;
C2;43.47997;-3.80005;
C3;43.481293;-3.796231;
C4;43.480079;-3.795608;
C5;43.479674;-3.796016;
C6;43.478942;-3.798054;
C7;43.47888;-3.798913;
C8;43.477479;-3.800458;
C9;43.476545;-3.801831;
C10;43.476467;-3.803934;
D1;43.472044;-3.79505;
D2;43.471313;-3.794793;
D3;43.469818;-3.801037;
D4;43.469522;-3.80402;
D5;43.470285;-3.804535;
E1;43.471889;-3.807437;
E2;43.472003;-3.807067;
E3;43.472164;-3.805827;
E4;43.472206;-3.805171;
E5;43.472297;-3.804310;
E6;43.472503;-3.803529;
E7;43.472587;-3.802666;
